term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"facial recognition","facial recognition","277","1000","0.277","",""
"recognition software","recognition software","21","1000","0.021","",""
"id id","id id","17","1000","0.017","",""
"surveillance cameras","surveillance cameras","11","1000","0.011","",""
"cctv cameras","cctv cameras","11","1000","0.011","",""
"artificial intelligence","artificial intelligence","11","1000","0.011","",""
"san francisco","san francisco","10","1000","0.01","",""
"recognition surveillance","recognition surveillance","9","1000","0.009","",""
"id iphone","id iphone","9","1000","0.009","",""
"automated facial","automated facial","9","1000","0.009","",""
"recognition app","recognition app","8","1000","0.008","",""
"recognition unlock","recognition unlock","7","1000","0.007","",""
"iphone xs","iphone xs","7","1000","0.007","",""
"fingerprint sensor","fingerprint sensor","7","1000","0.007","",""
"facebook executives","facebook executives","7","1000","0.007","",""
"cameras facial","cameras facial","7","1000","0.007","",""
"recognition technologies","recognition technologies","6","1000","0.006","",""
"rating rating","rating rating","6","1000","0.006","",""
"in-display fingerprint","in-display fingerprint","6","1000","0.006","",""
"ftc facebook","ftc facebook","6","1000","0.006","",""
"facebook zuckerberg","facebook zuckerberg","6","1000","0.006","",""
"samsung galaxy","samsung galaxy","5","1000","0.005","",""
"recognition cameras","recognition cameras","5","1000","0.005","",""
"recognition biometric","recognition biometric","5","1000","0.005","",""
"privacy surveillance","privacy surveillance","5","1000","0.005","",""
"iphone users","iphone users","5","1000","0.005","",""
"iphone pro","iphone pro","5","1000","0.005","",""
"iphone iphone","iphone iphone","5","1000","0.005","",""
"hong kong","hong kong","5","1000","0.005","",""
"facial-recognition software","facial-recognition software","5","1000","0.005","",""
"facebook twitter","facebook twitter","5","1000","0.005","",""
"election commission","election commission","5","1000","0.005","",""
"digi yatra","digi yatra","5","1000","0.005","",""
"cambridge analytica","cambridge analytica","5","1000","0.005","",""
"ai recognition","ai recognition","5","1000","0.005","",""
"ai facial","ai facial","5","1000","0.005","",""
"3d facial","3d facial","5","1000","0.005","",""
"xi jinping","xi jinping","4","1000","0.004","",""
"users facebook","users facebook","4","1000","0.004","",""
"telangana election","telangana election","4","1000","0.004","",""
"surveillance china","surveillance china","4","1000","0.004","",""
"slaughter ftc","slaughter ftc","4","1000","0.004","",""
"rohit chopra","rohit chopra","4","1000","0.004","",""
"restraints facebook's","restraints facebook's","4","1000","0.004","",""
"recognition afrs","recognition afrs","4","1000","0.004","",""
"proprietary proprietary","proprietary proprietary","4","1000","0.004","",""
"penalty immunity","penalty immunity","4","1000","0.004","",""
"models id","models id","4","1000","0.004","",""
"microsoft facial","microsoft facial","4","1000","0.004","",""
"iphone models","iphone models","4","1000","0.004","",""
"ipad pro","ipad pro","4","1000","0.004","",""
"intelligence ai","intelligence ai","4","1000","0.004","",""
"immunity facebook","immunity facebook","4","1000","0.004","",""
"id cards","id cards","4","1000","0.004","",""
"galaxy s10","galaxy s10","4","1000","0.004","",""
"ftc rohit","ftc rohit","4","1000","0.004","",""
"fix violations","fix violations","4","1000","0.004","",""
"fingerprint id","fingerprint id","4","1000","0.004","",""
"facebook's fix","facebook's fix","4","1000","0.004","",""
"facebook privacy","facebook privacy","4","1000","0.004","",""
"facebook ftc","facebook ftc","4","1000","0.004","",""
"executives restraints","executives restraints","4","1000","0.004","",""
"democratic ftc","democratic ftc","4","1000","0.004","",""
"delhi facial","delhi facial","4","1000","0.004","",""
"chopra penalty","chopra penalty","4","1000","0.004","",""
"app id","app id","4","1000","0.004","",""
"airport facial","airport facial","4","1000","0.004","",""
"yatra id","yatra id","3","1000","0.003","",""
