term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"facial recognition","facial recognition","328","1000","0.328","",""
"recognition software","recognition software","35","1000","0.035","",""
"artificial intelligence","artificial intelligence","22","1000","0.022","",""
"san francisco","san francisco","15","1000","0.015","",""
"hong kong","hong kong","12","1000","0.012","",""
"recognition tech","recognition tech","10","1000","0.01","",""
"ban facial","ban facial","10","1000","0.01","",""
"surveillance cameras","surveillance cameras","9","1000","0.009","",""
"clearview ai","clearview ai","8","1000","0.008","",""
"recognition cameras","recognition cameras","7","1000","0.007","",""
"ai surveillance","ai surveillance","7","1000","0.007","",""
"recognition surveillance","recognition surveillance","6","1000","0.006","",""
"google facebook","google facebook","6","1000","0.006","",""
"cameras facial","cameras facial","6","1000","0.006","",""
"surveillance capitalism","surveillance capitalism","5","1000","0.005","",""
"recognition artificial","recognition artificial","5","1000","0.005","",""
"id iphone","id iphone","5","1000","0.005","",""
"id id","id id","5","1000","0.005","",""
"facebook ceo","facebook ceo","5","1000","0.005","",""
"ceo zuckerberg","ceo zuckerberg","5","1000","0.005","",""
"apple's id","apple's id","5","1000","0.005","",""
"american liberties","american liberties","5","1000","0.005","",""
"amazon's facial","amazon's facial","5","1000","0.005","",""
"surveillance facial","surveillance facial","4","1000","0.004","",""
"recognition technologies","recognition technologies","4","1000","0.004","",""
"recognition biometric","recognition biometric","4","1000","0.004","",""
"recognition algorithms","recognition algorithms","4","1000","0.004","",""
"northern california","northern california","4","1000","0.004","",""
"intelligence facial","intelligence facial","4","1000","0.004","",""
"install facial","install facial","4","1000","0.004","",""
"id photos","id photos","4","1000","0.004","",""
"facial-recognition software","facial-recognition software","4","1000","0.004","",""
"facial expressions","facial expressions","4","1000","0.004","",""
"facebook portal","facebook portal","4","1000","0.004","",""
"facebook google","facebook google","4","1000","0.004","",""
"controversial facial","controversial facial","4","1000","0.004","",""
"bans facial","bans facial","4","1000","0.004","",""
"ai facial","ai facial","4","1000","0.004","",""
"users facial","users facial","3","1000","0.003","",""
"surveillance technologies","surveillance technologies","3","1000","0.003","",""
"surveillance tech","surveillance tech","3","1000","0.003","",""
"surveillance students","surveillance students","3","1000","0.003","",""
"san francisco's","san francisco's","3","1000","0.003","",""
"regulate facial","regulate facial","3","1000","0.003","",""
"recognition scan","recognition scan","3","1000","0.003","",""
"recognition privacy","recognition privacy","3","1000","0.003","",""
"recognition facial","recognition facial","3","1000","0.003","",""
"recognition database","recognition database","3","1000","0.003","",""
